,target
201,-353.1521851846363
202,-353.1521851846363
203,-353.1521851846363
204,-353.1521851846363
205,-353.1521851846363
206,-353.1521851846363
207,-353.1521851846363
208,-353.1521851846363
209,-353.1521851846363
210,-353.1521851846363
211,-353.1521851846363
212,-353.1521851846363
213,-353.1521851846363
214,-353.1521851846363
215,-353.1521851846363
216,-353.1521851846363
217,-353.1521851846363
218,-353.1521851846363
219,-353.1521851846363
220,-353.1521851846363
221,-353.1521851846363
222,-353.1521851846363
223,-353.1521851846363
224,-353.1521851846363
225,-353.1521851846363
226,-353.1521851846363
227,-353.1521851846363
228,-353.1521851846363
229,-353.1521851846363
230,-353.1521851846363
231,-353.1521851846363
232,-353.1521851846363
233,-353.1521851846363
234,-353.1521851846363
235,-353.1521851846363
236,-353.1521851846363
237,-353.1521851846363
238,-353.1521851846363
239,-353.1521851846363
240,-353.1521851846363
241,-353.1521851846363
242,-353.1521851846363
243,-353.1521851846363
244,-353.1521851846363
245,-353.1521851846363
246,-353.1521851846363
247,-353.1521851846363
248,-353.1521851846363
249,-353.1521851846363
250,-353.1521851846363
251,-353.1521851846363
252,-353.1521851846363
253,-353.1521851846363
254,-353.1521851846363
255,-353.1521851846363
256,-353.1521851846363
257,-353.1521851846363
258,-353.1521851846363
259,-353.1521851846363
260,-353.1521851846363
261,-353.1521851846363
262,-353.1521851846363
263,-353.1521851846363
264,-353.1521851846363
265,-353.1521851846363
266,-353.1521851846363
267,-353.1521851846363
268,-353.1521851846363
269,-353.1521851846363
270,-353.1521851846363
271,-353.1521851846363
272,-353.1521851846363
273,-353.1521851846363
274,-353.1521851846363
275,-353.1521851846363
276,-353.1521851846363
277,-353.1521851846363
278,-353.1521851846363
279,-353.1521851846363
280,-353.1521851846363
281,-353.1521851846363
282,-353.1521851846363
283,-353.1521851846363
284,-353.1521851846363
285,-353.1521851846363
286,-353.1521851846363
287,-353.1521851846363
288,-353.1521851846363
289,-353.1521851846363
290,-353.1521851846363
291,-353.1521851846363
292,-353.1521851846363
293,-353.1521851846363
294,-353.1521851846363
295,-353.1521851846363
296,-353.1521851846363
297,-353.1521851846363
298,-353.1521851846363
299,-353.1521851846363
300,-353.1521851846363
301,-353.1521851846363
302,-353.1521851846363
303,-353.1521851846363
304,-353.1521851846363
305,-353.1521851846363
306,-353.1521851846363
307,-353.1521851846363
308,-353.1521851846363
309,-353.1521851846363
310,-353.1521851846363
311,-353.1521851846363
312,-353.1521851846363
313,-353.1521851846363
314,-353.1521851846363
315,-353.1521851846363
316,-353.1521851846363
317,-353.1521851846363
318,-353.1521851846363
319,-353.1521851846363
320,-353.1521851846363
321,-353.1521851846363
322,-353.1521851846363
323,-353.1521851846363
324,-353.1521851846363
325,-353.1521851846363
326,-353.1521851846363
327,-353.1521851846363
328,-353.1521851846363
329,-353.1521851846363
330,-353.1521851846363
331,-353.1521851846363
332,-353.1521851846363
333,-353.1521851846363
334,-353.1521851846363
335,-353.1521851846363
336,-353.1521851846363
337,-353.1521851846363
338,-353.1521851846363
339,-353.1521851846363
340,-353.1521851846363
341,-353.1521851846363
342,-353.1521851846363
343,-353.1521851846363
344,-353.1521851846363
345,-353.1521851846363
346,-353.1521851846363
347,-353.1521851846363
348,-353.1521851846363
349,-353.1521851846363
350,-353.1521851846363
351,-353.1521851846363
352,-353.1521851846363
353,-353.1521851846363
354,-353.1521851846363
355,-353.1521851846363
356,-353.1521851846363
357,-353.1521851846363
358,-353.1521851846363
359,-353.1521851846363
360,-353.1521851846363
361,-353.1521851846363
362,-353.1521851846363
363,-353.1521851846363
364,-353.1521851846363
365,-353.1521851846363
366,-353.1521851846363
367,-353.1521851846363
368,-353.1521851846363
369,-353.1521851846363
370,-353.1521851846363
371,-353.1521851846363
372,-353.1521851846363
373,-353.1521851846363
374,-353.1521851846363
375,-353.1521851846363
376,-353.1521851846363
377,-353.1521851846363
378,-353.1521851846363
379,-353.1521851846363
380,-353.1521851846363
381,-353.1521851846363
382,-353.1521851846363
383,-353.1521851846363
384,-353.1521851846363
385,-353.1521851846363
386,-353.1521851846363
387,-353.1521851846363
388,-353.1521851846363
389,-353.1521851846363
390,-353.1521851846363
391,-353.1521851846363
392,-353.1521851846363
393,-353.1521851846363
394,-353.1521851846363
395,-353.1521851846363
396,-353.1521851846363
397,-353.1521851846363
398,-353.1521851846363
399,-353.1521851846363
