,target
312,-114.39008390449573
313,-114.39008390449573
314,-114.39008390449573
315,-114.39008390449573
316,-114.39008390449573
317,-114.39008390449573
318,-114.39008390449573
319,-114.39008390449573
320,-114.39008390449573
321,-114.39008390449573
322,-114.39008390449573
323,-114.39008390449573
324,-114.39008390449573
325,-114.39008390449573
326,-114.39008390449573
327,-114.39008390449573
328,-114.39008390449573
329,-114.39008390449573
330,-114.39008390449573
331,-114.39008390449573
332,-114.39008390449573
333,-114.39008390449573
334,-114.39008390449573
335,-114.39008390449573
336,-114.39008390449573
337,-114.39008390449573
338,-114.39008390449573
339,-114.39008390449573
340,-114.39008390449573
341,-114.39008390449573
342,-114.39008390449573
343,-114.39008390449573
344,-114.39008390449573
345,-114.39008390449573
346,-114.39008390449573
347,-114.39008390449573
348,-114.39008390449573
349,-114.39008390449573
350,-114.39008390449573
351,-114.39008390449573
352,-114.39008390449573
353,-114.39008390449573
354,-114.39008390449573
355,-114.39008390449573
356,-114.39008390449573
357,-114.39008390449573
358,-114.39008390449573
359,-114.39008390449573
360,-114.39008390449573
361,-114.39008390449573
362,-114.39008390449573
363,-114.39008390449573
364,-114.39008390449573
365,-114.39008390449573
366,-114.39008390449573
367,-114.39008390449573
368,-114.39008390449573
369,-114.39008390449573
370,-114.39008390449573
371,-114.39008390449573
372,-114.39008390449573
373,-114.39008390449573
374,-114.39008390449573
375,-114.39008390449573
376,-114.39008390449573
377,-114.39008390449573
378,-114.39008390449573
379,-114.39008390449573
380,-114.39008390449573
381,-114.39008390449573
382,-114.39008390449573
383,-114.39008390449573
384,-114.39008390449573
385,-114.39008390449573
386,-114.39008390449573
387,-114.39008390449573
388,-114.39008390449573
389,-114.39008390449573
390,-114.39008390449573
391,-114.39008390449573
392,-114.39008390449573
393,-114.39008390449573
394,-114.39008390449573
395,-114.39008390449573
396,-114.39008390449573
397,-114.39008390449573
398,-114.39008390449573
399,-114.39008390449573
